Datetime,Username,Like Counts,Tweet,Class
2022-12-18 14:03:48+00:00,trynafindkris,0,@tanyakanrl mental health kacau,Feelings and Problematization
2022-10-27 02:34:03+00:00,yacgwa,1,"@collegemenfess maksudnya sial gimana, nder? malah bagus loh kampusnya peka sama kesehatan mental mahasiswanya. ngejalanin kuliah aja udah berat, terus kalo dia disuruh cuti ya artinya dia bisa fokus untuk sembuh dulu. harusnya kamu support temenmu itu",Awareness
2022-10-30 12:08:51+00:00,ElsaFrozenAsli,0,"uang bisa dicari, kesehatan mental belum tentu terkendali",Others
2022-11-02 05:46:41+00:00,milkshakemeloon,0,@collegemenfess Penting bgt untuk kesehatan mental,Awareness
2022-11-25 04:13:45+00:00,undipmenfess,17,"Hallo warga un -dips! Yang pintar aku yakin kalian baik hati dan paham penting nya mental health, jadi usahain buat ga menyerang secara personal dengan mencari, menyalahkan panitia mhkry. Siapa si yang mau acaranya ada miss. Mungkin buat panitia tahun depan event ini  (cont..)",Awareness
2022-11-21 05:29:44+00:00,esansalvatore,0,Alhamdulillah seronok tengok geng2 meroyan DSAI for PM10 kembali happy. Mental Health is important ya guys.,-
2022-12-31 17:00:38+00:00,msyrstg,0,"Bismillah, semoga di tahun 2023 dan seterusnya aku, keluargaku, sahabatku, dan teman-temanku selalu dalam lindungan Allah SWT dan selalu diberikan kesehatan jiwa raga dan mental. Aamiin aamiin Ya Allah ya rabbal alamin🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",Awareness
2022-11-25 00:25:41+00:00,thisisurpartner,0,"@collegemenfess Stress = ""mental health"" &gt; gak kuliah &gt; kuliah gak kelar &gt; stress lagi. Gitu aja terus",Feelings and Problematization
2022-12-07 15:22:05+00:00,owlaterr,0,"Dikantor gue ni sbenernya uang lain2 a i u e o nya banyak, cuma mental health gue aja yg keganggu;’)",Feelings and Problematization
2023-01-01 01:48:09+00:00,doraemo72807409,0,"@Lachibolala_oct @SAPILO802 Y kita harus mulai siapkan kesehatan mental,jiwa dan hati🤠",Awareness
2022-11-24 05:04:21+00:00,LUCKYTAROCKIAN9,0,@usernotfound720 Alantollu 10000 Mandhi untaru pattimchukoni mental health Karab cheskoku,-
2022-11-26 14:09:44+00:00,metavhii,0,@Querenciva jgn lupa bahagia malam ini dan jgn lupa selalu jaga kesehatan mental,Others
2022-12-31 17:51:47+00:00,Vienamaulina_,0,"2022 adalah taun dimana titik terendah gw. Mslh keluarga yg pabeulit bgt. Bnyk nangis nya, mental ga aman. Alhamdulillah msh bertahan sampai saat ini. Smoga ada hal baik di taun 2023. Slalu diberikan kekuatan, kesehatan fisik dan mental untuk menghadapi plot twist hidup",Others
2022-11-01 12:25:00+00:00,itbfess,3,itb! gaes boleh tau langkah-langkah minta rujukan ke psikiater dari klinik pratama ga ya? soalnya mental aku kayaknya udah ga sehat banget ini 🙏🏻🙏🏻 atau ada yang punya tips lain untuk tau kondisi kesehatan mental ga? nuhun pisan ya,Accessibility and Funding
2023-01-01 18:33:09+00:00,nugrohhoy,0,"@idextratime Pensiun aja lah, kesehatan mental mu lhooo!",Awareness
2022-11-12 04:42:07+00:00,Petrichorn__,0,"@convomf yaa begitulah, orang2 belum aware soal mental health jadi pasti ngatain org yg mau s word. eitsss jangankan udah s word, pas lagi keliatan capek/ ngeluh gitu pasti dikatain seolah2 dia paling kuat di dunia. kesel bgt.",Feelings and Problematization
2022-11-25 16:22:22+00:00,Idonthaveprope1,0,"Tgok skrg ramai muda2 yg dh ada sakit berkenaan mental health,  terus rasa takut..aku belum smpai tahap tu kan..",Youth
2022-12-10 12:22:54+00:00,syakiralyani,0,"So, mental health illness itu nyata. Gabisa digubris keberadaannya. 

Tapi menjadikan self-love as a heal yang perlu dikaji lagi. Seberapa efektif pengaruhnya? Apakah sudah sesuai dgn yg Allah inginkan?",Stigma
2022-12-07 02:50:32+00:00,dyAstronautDoh,2,"""Kalian ga tau mental health masing2 orang, kami kayak gini juga salah siapa"" ujar Gen Z yg dikit2 mental health, dikit2 gaslight",Feelings and Problematization
2022-11-12 15:47:08+00:00,MisterQ_14,2,"@elinaZaharuddin @QAMALIA_ Kalo dia ada mental health issues buat la mcm ni. Kalo x nampak benda tu pun, x salah la get prepared. Mcm2 benda boleh jadi.",-
2022-12-26 14:45:13+00:00,vyscontiv,0,"9. Biarkan saja. Bukan tidak peduli, suka males ribut sama orang

10. Drink

11. Drink

12. Mental health gua jadi 50% setelah membaca soal

Dah.",Others
2022-10-28 10:00:40+00:00,stw22_,1,ternyata bnr ya kesehatan mental itu lebih penting dri apapun 😭,Awareness
2022-11-30 15:49:07+00:00,Hmdn_633,0,"Porsikan sesuatu sesuai porsinya, jangan berlebihan kamu berhak menyayangi dirimu sendiri. Take care of ur mental health.",Awareness
2022-11-29 14:11:14+00:00,kyawcan,1,Nyatanya kesehatan mental penting bgt,Awareness
2022-10-28 14:19:23+00:00,HalodocID,7,"Lingkungan kerja dengan toxic leadership ini pastinya bakal berpengaruh sama kesehatan mental karyawan ❤️‍🩹

Akibatnya karyawan jadi ngerasa ragu sama diri sendiri, tertekan, gelisah, marah, stres, bahkan takut sama tugas yang dikasih atasan 😓",Stigma
2022-11-01 08:39:14+00:00,slowbluemingsky,0,Mana pas bgt disaat mental health gw lagi lemah - lemahnya 🤣,Feelings and Problematization
2022-11-11 23:36:34+00:00,zakkii_ss,0,"@digi2dig Iya memang ada kontrak, tpi drpd harus mengorbankan kesehatan/mental lebih penting mana coba.....",Awareness
2022-11-21 11:00:36+00:00,halloropi,0,"yang gempa, bumi. yang terguncang mental health ku",Others
2022-12-15 13:42:28+00:00,AhmadJamaludinN,0,@worksfess Out. Kesehatan mental lebih penting wkwkwkwk,Awareness
2022-10-28 03:45:35+00:00,crestella,0,Keasikan bikin ppt mental health sampe lupa kalau ada meeting lain 😂,Feelings and Problematization
2022-11-06 10:08:13+00:00,rakyatapaya,0,@tanyarlfes anak kos yang halal diusir adalah anak kos yang ga bisa bayar dan yang banyak komplen. usir yang gabisa bayar untuk kesehatan finansial kita. usir yang banyak komplen untuk kesehatan mental kita nder 🙏🏻,Feelings and Problematization
2022-11-13 15:36:53+00:00,sultansulaimann,0,@euphowlia @AREAJULID Apakah ini generasi yg melek mental health tapi buta akan MANNER?,Youth
2022-11-22 12:28:16+00:00,messygirlaf,0,"@tanyarlfes Inilah kenapa aku dan suami gamau tinggal terlalu deket sama keluarga. Kadang mereka merasa punya hak ikut campur padahal nggak, aku bakal mati2an keep apa yang terjadi dengan pasangan dan gamau jadi buah bibir. Kesehatan mental gue harus diutamakan.",Awareness
2022-12-15 19:00:16+00:00,chrrynblssm,0,"Well dua-duanya salah sih.
Cewenya play victim dibalik mental health, cowonya juga ga seharusnya bilang ""not deserve to be loved"" it hurts actually",Feelings and Problematization
2022-12-06 04:46:51+00:00,gakdulubro,1,"Jd utk tmn2 yg ngerasa punya issue mental health, silakan rep atau dm utk nanti gue tanya2 sedikit sbg bentuk filtering, stlh itu nanti akan gue kasih link grup nya. Tolong bantu sebar kabar baik ini utk tmn2/kerabat kalian yg punya pengalaman tentang mental health",Accessibility and Funding
2022-11-07 11:11:14+00:00,TwittAarenn,1,"@HiOyeo_ Iya mas , Demi kesehatan mental dan Ketenangan hati :)",Awareness
2022-12-06 02:36:38+00:00,tenvlyli,1,buka ig first acc memang tidak baik buat kesehatan mental ☺️,Feelings and Problematization
2022-12-22 13:25:26+00:00,botiproblematik,0,"@moscatobianco @bnsrlim Ngehate? Haiii gue peduli ama kesehatan mental kamu ya sayang. 

Gue saranin lu ke psikiater buat apa coba? Buat lu lebih humble aja jalanin hidup, lebih wise gitu. 

Haha masa sih gue ngehate? Gue peduli kesehatan mental lu ya huhu, berobat gih",Service
2022-12-20 19:23:53+00:00,ssvy_02,0,"@convomfs Ya kalo dijauhin jauhin balik lah, kita tuh gk boleh hidup dikeadaan yg toxic gitu, kalo emang orng lain gk terima yg jgn dideketin ibarat tuh kalo mata ya dibls mata, kesehatan mental tuh lebih penting dr pd omongan orng",Awareness
2022-12-18 01:57:37+00:00,ArhabAf,0,"Mental health, suka terombang-ambing... tapi dari luar so-so
Empati, kecerdasan aku dominan kesana dari tes Kecerdasan dibanding IQ
Sabar si yang suka mengeluh
Social skill kalau lagi gada tenaga atau bahan bicara diem, tapi kalau diajak bcara, yh bicara aja
Memory, aku dory🙏🏻",Feelings and Problematization
2022-11-30 02:21:27+00:00,anomlptr,0,"@literarybase Hm kalo fiksi aku baca fantasi ga ada hubungannya sm jurusan. Tp kalo nonfiksi, aku baca mental health si kebanyakan, sesuai jurusan kesehatan si bener...",Others
2022-11-05 12:19:35+00:00,heyycooldude,1,kembali ke twitter biar mental health terguncang lagi,Others
2022-12-26 04:15:22+00:00,tiramissuluvr,2,@sbmptnfess Aku dapet lingkungan pertemnan yang 10/10 hehe tp buat kesehatan mental 0/10 :/,Feelings and Problematization
2022-12-18 15:34:16+00:00,AghniyaTamara,2,"We have mistaken ‘berkorban’ as a key of a successful relationship. 

Meanwhile yang dikorbankan adalah kesehatan mental, finansial, waktu, pikiran, fisik, dalam jangka durasi yang lama tanpa adanya keseimbangan dari pihak lainnya",Feelings and Problematization
2022-11-01 16:42:18+00:00,kbooskid,0,"Halooo, mau tanya ke temen-temen mental health disorder terutama depresi dan bipolar, yang berobat pake BPJS. Waktu di faskes pertama minta rujukan tuh bilangnya gimana ya? Aku mau mulai konsul, tapi bingung banget, masih takut sama stigma nakes di faskes I-nya 🥲",Classification
2022-11-24 10:55:53+00:00,faapriil,0,"Gue keknya butuh pacar yg kek bible sumettikul deh? Walau dia anak teknik but dia aware bgt sama mental health, di liat dari bacaan dia. Kek cocok ga si sama gue ((agak maksa)).",Awareness
2022-12-29 22:46:24+00:00,rrosyidh_,0,berusaha buat enjoy the process benar-benar buat kesehatan mental terjaga,Awareness
2022-12-15 16:05:56+00:00,zhnsyh,0,"Susah nak berfikir secara kritikal, rasional dan buat kerja-kerja kreatif. Jadi autopilot sepanjang masa. Not good for long-term mental health.",Awareness
2022-11-08 15:01:30+00:00,glapnce,0,"@SalaamIndonesia kesadaran pentingnya kesehatan mental masih rendah, byk yg nyepelein bahkan ada yg jadi pelaku perusak mental orang lain. melalui postingan ini semoga kita semua bisa bisa ngasih energi positif buat mereka yg lagi down 😢",Awareness
2022-11-11 03:18:25+00:00,Meooong6,51,"@stockmapping @hanmula kek di kantor saya, ada 1 orang yang selalu mental health di jadiin alasan,, lemah, dikritik dikit doang langsung ke psikiater,, alhasil ga punya temen, dan sekarang kabur, keluar kerja tanpa alasan dan pemberitahuan, udah mentalnya lemah ga punya attitude,,, miriissss",Feelings and Problematization
2022-11-03 23:14:28+00:00,DoktorDokter,0,"Kesehatan adalah keadaan harmoni yang lengkap dari tubuh, pikiran dan jiwa. Ketika seseorang bebas dari cacat fisik dan gangguan mental, gerbang jiwa terbuka. (B.K.S. Iyengar)",Others
2022-11-25 17:45:26+00:00,panjulbinmilo,0,"Demi mental health yg baik, dengan ini Pekan Kalkulus dan Aljabar Linier resmi ditutup. Terima kasih untuk pihak yang sudah membantu🙂🙏🏻",Others
2022-11-25 15:38:28+00:00,antipeluru__,0,@pakantono ngomongno mental health iki ganok sepirone karo tekanan sing dialami sardar azmoun karo negorone dewe sing menyuarakan kemanusiaan  #worldcupXantono,-
2022-11-23 07:55:57+00:00,xxxtyaa,1,"ditakut takutin soal mental health issue aja udah ciut, mana janji lu kampret bat wkwkwk",Feelings and Problematization
2022-12-09 14:57:18+00:00,waieizie,0,"@silentlyloudest Mana repnya dia cuma kek permintaan maaf formalitas doang lagi, biar brenti ributnya.. ngabrut 😂😂😂😂😂

Kao selebtwit mah besokannya ngeluarin kartu ""mental health saya terganggu"" 😂😂😂😂😂
Bocil... bocil...",Feelings and Problematization
2022-12-09 11:58:36+00:00,paddlepopboi,0,Bahaya bgt buat kesehatan mental dan jantung,Awareness
2022-11-09 05:18:44+00:00,imigrasigtalo,0,Beliau juga menghimbau pentingnya menjaga kesehatan fisik dan mental untuk menjaga produktifitas dalam pelaksanaan tugas guna menghasilkan output kinerja organisasi secara maksimal.,Awareness
2022-12-19 15:10:41+00:00,hafizhzainn,0,Menghindar dari lingkungan yg terkadang toxic adalah ke harusan demi kesehatan mental sendiri,Awareness
2022-11-25 08:12:52+00:00,buchenuppak,0,Alah lari tanggung jawab bertameng mental health kasihan anjir org yg beneran need help.,Feelings and Problematization
2022-11-24 09:10:26+00:00,itsryanaaa,0,fix gue bakal ngekos demi kesehatan mental,Awareness
2022-11-25 06:59:58+00:00,LndulaA,1,@jumaf3 Aah ewe wesi se ubloka se umuntu kawee... mental health yoo walekhulile havenyaila busa Ketruta kang'ali kang'ali,-
2022-11-17 11:44:56+00:00,favhazelnutt,0,penatnya nak jaga mental health,-
2022-11-24 03:22:32+00:00,emperorio_s,0,Pengangguran dikit2 mental health,Feelings and Problematization
2022-12-12 07:23:43+00:00,hazreenroslan,0,"@twtmalaywedding boleh je berhenti seketika untuk tujuan mental health,jika simpanan mencukupi,smbil2 tu boleh la cari peluang untuk buat aktiviti untuk yang boleh buat kita gembiraa..jika syarikat bagi peluang mcm tu teruskan laa…",Awareness
2022-11-22 01:24:32+00:00,maysmyname,0,"@tsunthere_chan Pukpukpuk tereeee. Emng ga semua org bisa nerima apa yg kita suka, tp selama kita happy dgn yg kita lakuin yauda lakuin aja. Krn menjaga kesehatan mental lbh penting dripada urusi pemikiran netijen.

(Harusnya kalo ga suka story ig tinggal mute aja ga sih wkwk)",Awareness
2022-11-18 04:00:30+00:00,__sigmamale,0,"@Alliveeeee @nurrilasyari @andryphn Mental health, soalnya aku suka mental illness",Others
2022-11-09 02:02:29+00:00,Fiqahrahim94,0,"Toxic people ni yg buat mental health individu tak sihat,,
 Elok je org tu sihat selalu, dtg toxic people ni terus tak sihat. 
WHY ?
Because sometimes toxic people tak letakkan diri dia dalam situasi individu tersebut,,
Apa yang mereka buat?
 Maka terjadilah talam dua muka",Feelings and Problematization
2022-11-13 11:00:09+00:00,rasyadtl,0,"@anisyuhadah_ hmm faham. stay strong sis, if tk tahan sangat blah je nnti effect yr mental health jdi tak best kerja",-
2022-11-24 12:44:55+00:00,everilung,0,@aegist_ Parah banget ih gak aware banget sama mental health issue.,Awareness
2022-11-06 08:15:53+00:00,nichiconan,1,aku rasa aku tahu cane nk fix diri aku nie. sumpah this lately makin teruk mental health akuu &amp; i’m afraid it will affect my studies,-
2022-12-11 15:25:50+00:00,senantan,0,"@collegemenfess Makan, tidur, kesehatan mental dan fisik 🙏",Others
2022-11-17 16:48:29+00:00,_najess,0,"@collegemenfess Debat dlm presentasi itu mengarah ke sebuah kesimpulan, kalo dia berdebat hanya untuk mematahkan argumentasi org lain berarti dia gila boleh dipindahkan ke fasilitas penanganan kesehatan mental",Others
2022-12-27 10:52:41+00:00,starstrmnw,0,Kayak gini emang enak buat save mental health 😂,Awareness
2022-12-12 11:33:58+00:00,jihaanfy_,0,"@kegblgnunfaedh @nagungunadireja boleh di coba. Selain membuat happy bisa membuat senang dan mental health meningkat, mood naik, serta dunia aman tentram dan damai menghindari perang dunia. Lop u yang paling gantenk🫶",Stigma
2022-11-24 04:14:39+00:00,Lavender198709,0,"@collegemenfess Tapi tanggungjawab untuk selesaikan perkuliahan juga penting. Kalau kuliah kacau, mental health kamu makin hancur.",Feelings and Problematization
2022-11-23 14:47:01+00:00,baritonlidi,0,"mbakyu said: ""uang bisa dicari, tp kesehatan mental dan pikiran susah dicari""",Stigma
2022-11-10 23:43:38+00:00,onlymeyeka,0,"selain dibutuhkan kesehatan mental, ternyata butuh juga kesehatan pikiran",Awareness
2022-11-07 15:26:30+00:00,arkansyah02,0,"sepertinya kesepian ini cukup mengganggu kesehatan mental gw:)
wkwk",Feelings and Problematization
2022-10-28 11:02:32+00:00,jindanjune,10,@uphaul @linyours @worksfess Betul sekali. Mental terjaga. Kesehatan mental itu yg terpenting. Capek badan bisa tidur sama makan. Capek mental bisa tidur cuma 3 jam udah untung.,Awareness
2022-11-12 00:32:55+00:00,byln13_,0,@nunataekoo Huum sedih i. Kadang suka mikir mental health mereka kok kuat banget yah 😭 jahat banget org² yg hate 7 bujangku,Feelings and Problematization
2022-11-24 16:20:01+00:00,ddictwkth,1,@collegemenfess mental health jangan dijadiin alesan buat lari dari tanggung jawab,Stigma
2022-10-26 12:25:26+00:00,helloitskims,0,"@apradzk_ Done, wish me luck 🥰 makasih ya buat kaka yg sudah ngadain giveaway semoga selalu diberikan kesehatan fisik &amp; mental, panjang umur, dijauhkah dr semua penyakit, diberikan rezeki yang melimpah, dijauhkan dari orang jahat, segala urusan lancar, Amin",Feelings and Problematization
2022-11-24 17:51:29+00:00,Deeshoshh,0,"Jadi ya, mental health itu ga cuma nyerang orang dewasa loh, anak anak juga. Dijaga dan diperhatikan orang sekitar juga semua ucapan dan ketikan yang pernah kita keluarin yang ditujukan buat orang lain. 😔",Awareness
2022-12-09 16:54:48+00:00,layyoffs,0,"mental health aman, duit aman, semua deh aman mah",Others
2022-11-02 08:04:56+00:00,Askrlfess,4,"[Askrl] byebye toxic relationship, hubungan yg sehat lebih baik buat mental health diriku🤣",Awareness
2022-12-12 08:13:58+00:00,aprtaaa,1,yeayyy skrg udah ga takut dan segan lg buat cut off orang yg beneran bikin toxic dikehidupanku demi kebahagiaan dan mental health😆👍,Awareness
2022-11-27 16:15:51+00:00,malumgurl,0,melek mental health tapi sendirinya gak mikirin perasaan orang lain ckckck gws mbak,Feelings and Problematization
2022-11-19 12:30:02+00:00,AAZFAA_,0,Bukak twitter time time ni tak bagus untuk mental health,Feelings and Problematization
2022-11-12 16:28:15+00:00,twinkleliltstar,0,@lunalvgddd Apalagi yg sad dari awal smpe akhir sangat tidak dianjurkan demi kesehatan mental 😭,Awareness
2022-11-14 01:53:03+00:00,raptured_devil,0,@sbyfess @baesbel minta dikirimi paket kesehatan mental,Others
2022-12-07 15:36:56+00:00,mevantals,3,@ndeerawr Itu grafik kesehatan mental anak labsky per taun,Others
2022-12-23 10:01:40+00:00,DewiKeliyengan,1,"@aveurarueva @Squishymandacil @AdrianaRisky16 @RainaEssa @ratnakeisha17 Sepengamatan aq dr yg dialami Jo. Inner childnya terluka, impulsif, emosional. Lebih kurang seperti itulah. Masalah mental health jabarannya panjang. Perlu diagnosa lebih jauh",Stigma
2022-11-25 13:24:06+00:00,rakyatxhallyu,0,"Bahas soal mental health, pasti bukan hal baru bagi Rakyatdeul semua. Kita sharing bareng soal mental health yuk",Others
2022-11-29 05:00:16+00:00,terJooyeon2,0,@Gaonashi114 Betul! Kesehatan mental lebih penting dari apapun yang kata org penting wkwkw,Awareness
2022-12-02 14:46:27+00:00,pandamaduuu,0,"Tapi ucapan jelek kyk gitu membuat mental health kita ga sehat bagi kita yg mendengarnya, karna itu bukan masukan, tapi ejekan",Feelings and Problematization
2022-12-29 04:39:55+00:00,xPemburu26,0,"Gatau ya, ini pandangan gw si.. Anggeplah gw bego dan pemikiran gw cetek. Tapi emg iya si wkwk..
Apaan sih org² yg naro kepribadian dia di bio atau mental health gitu². 
Cringe ga si wkwk..",Feelings and Problematization
2022-11-07 07:40:37+00:00,aaaaaalfiiiiii,0,berasa banyak banget prnya soal kesehatan mental sendiri,Feelings and Problematization
2022-11-24 08:47:23+00:00,feblistiawan,1,Punya mental health issue ya berobat njir bukan skip kuliah,Feelings and Problematization
2022-12-31 05:18:55+00:00,dinziie,0,"karena aku tau latar belakang mereka seperti apa, minimnya pengetahuan tentang parenting dan kesehatan mental. 

bahkan sampe sekarang mereka ga tau apa yang aku alami, karena aku enggan terbuka dan cerita karena aku tau ujungnya seperti apa.",Feelings and Problematization
2022-11-29 01:52:33+00:00,noyexol,0,@simatchaanta Sebenernya utk kesehatan mental kita emg lbh enak kaya gitu Sin. Cuma ya balik lg emg ga semudah itu haha. Apalagi hub kita sm idol tu bukan kek kita ngefans sm artis lain kan ya jd kdg masih muncul. Akupun pnh ada di fase yg kek ngribetin pikiran aku sdr Sin dan emg ga enk bgt.,Feelings and Problematization
2022-11-25 12:01:52+00:00,uci_uciciha,0,@AdelideRianda Bayaran Kiwi manaaaa. Mental health doi rada goyang nih kayaknyaaa,Stigma
2022-11-30 13:15:35+00:00,mattchaadct,0,Kesehatan mental lebih penting👍,Awareness
2022-11-24 08:36:57+00:00,vafnte,0,"wah maaf gak setuju, kuliahku bayar + jauh wkwkwk
walau aku anak psi juga mentingin mental health tapi rekening health juga dipikirin",Awareness
2022-11-15 13:32:08+00:00,lapangan_hi7au,8,"Kesehatan mental yang baik adl kondisi ketika batin kita berada dalam keadaan tenteram dan tenang, sehingga kita bisa nyaman menikmati hidup sehari-hari dan bahkan mampu menghargai orang lain di sekitar ~ Selamat malam",Awareness
2022-12-23 12:10:45+00:00,nasitelor_kecap,0,"@tanyakanrl Gk masalah selagi financial, mental dan masalah ilmu parenting dan kesehatan keluarganya udh mateng. Hal yg paling penting menurutku mah itu.",Awareness
2022-12-11 16:24:12+00:00,lovestarlight__,0,"Manusia tempatnya salah, Yo sorry lk aku kenemenen Cok 🙏
Aku Yo wes ngusahakno poll""an 

Taiii mental health mental health an, Kon ga ngerti Cok, tiap org punya porsi beban e masing"". Mok kiro uripmu tok a sing paling abot",-
2022-11-09 14:59:22+00:00,0310km,0,"aktris; gue senang jadi siapapun yang bukan diri gue.
mental health practitioner, meditation guru, tarot reader atau sejenisnya; giving guides tuh menyenangkan.",Service
2022-10-28 09:55:40+00:00,RimaAnjani94,1,"@lifeisalies @EdoSeti82996919 @Jenstudyyy Ini lebih ke perspektif sih ya, tp menurut gue dr dn 1 pun ceritanya punya keunggulan tersendiri dibanding cerita remaja lain yg pakemnya romens mulu. Dn selalu angkat isu sosial, dn 1 angkat tentang broken home, dn 2 kesehatan mental, dan dn 3 pelecehan seksual.",Others
2022-11-24 05:18:35+00:00,dcknr,0,"Sedih dikit lgsg mental health lagi kacau. Nti pas kerja, sedih dikit izin gk masuk brrti 🥱",Feelings and Problematization
2022-11-30 00:19:14+00:00,naienwho,0,"Selalu dgr je org cakap, kalau kita cita pasal mental health, ada je org akan respond like - kena tingkatkan iman etc etc.

Sekali kena batang hidung aku cam......  The F siak. Hahahhahaha apa yg membuatkan kau rasa aku ni ada problems sbb tak kuat iman. Ewah",-
2022-11-06 01:08:10+00:00,thierriskusuma,2,"Oke aku memilih untuk tidak terjerat dalam adiksi game bernama Genshin Impact, gak dapat Nahida gapapa, demi kesehatan mental dan dompet🥺",Awareness
